TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_810).mp4,1,20000,red,squares,8,226,11,2.336921620390105,8.0,41.15909949525053,41.15909949525053,4237.184981664191,0.5493337538827537,0.5493337538827537,5.578310847011379,1419.1360915049156,1419.1360915049156,1440.0,441.80847840907074,806.2857701033527,806.2857701033527,810.0,5040.349793098648,7934.0,7565.0
2,2x2_pixel_surface_30000_color_mode_white_frequency_19_shape_squares_coordinate_(1440_270).mp4,1,30000,white,squares,19,227,11,4.498713802113169,19.15,34.309200609958964,34.309200609958964,52.99701889503869,-0.08020768977499207,-0.08020768977499207,0.1013417905545369,1472.4646168341708,1472.4646168341708,1440.0,49.909550481324665,267.91654522613067,267.91654522613067,270.0,121.91658492383398,7960.0,7960.0
3,2x2_pixel_surface_30000_color_mode_green_frequency_8_shape_squares_coordinate_(480_270).mp4,1,30000,green,squares,8,226,12,2.649810922119082,8.0,29.082885959258437,29.082885959258437,87.38244431842857,-0.8383036662116703,-0.8383036662116703,0.2736448732978714,497.65538538789855,497.65538538789855,480.0,167.45327817811437,252.70241652021093,252.70241652021093,270.0,154.82439442405047,7966.0,7966.0
4,2x2_pixel_surface_30000_color_mode_red_frequency_8_shape_squares_coordinate_(480_810).mp4,1,30000,red,squares,8,226,12,2.2154577579517216,8.15,50.178452945051745,50.178452945051745,380.3392199555645,-0.5198357801325271,-0.5198357801325271,0.13247260445154602,520.7432350718066,520.7432350718066,480.0,327.853097344842,784.3503401360545,784.3503401360545,810.0,252.44700731691015,7938.0,7938.0
5,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(480_270).mp4,2,10000,white,squares,8,228,10,2.053085093516133,8.0,30.680903918029564,30.680903918029564,172.58345365789242,-0.23227609967967006,-0.23227609967967006,0.7743314769585616,504.0126383995974,504.0126383995974,480.0,320.6609767202769,272.32840966280827,272.32840966280827,270.0,211.21204769729968,7948.0,7667.0
6,2x2_pixel_surface_30000_color_mode_red_frequency_13_shape_squares_coordinate_(480_270).mp4,2,30000,red,squares,13,227,11,8.811488276527188,13.15,46.53421914735277,46.53421914735277,186.21286704431188,-0.4740535560993376,-0.4740535560993376,0.35371258962702107,515.41387283237,515.41387283237,480.0,330.26527437035764,251.60005026388544,251.60005026388544,270.0,428.680605048994,7958.0,7951.0
7,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(480_810).mp4,2,10000,white,squares,8,227,11,1.1433663265962912,8.15,40.840032239493965,40.840032239493965,167.21352246471292,-0.13366578908752966,-0.13366578908752966,0.04286038004116326,519.8623112732763,519.8623112732763,480.0,176.5487503575629,805.0708417211877,805.0708417211877,810.0,45.27254404490252,7948.0,6605.0
8,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,30000,white,squares,25,227,11,11.512336998205459,25.15,36.55391057485695,36.55391057485695,61.22464186388772,1.5628233367625115,1.5628233367625115,3.8485436547877625,1412.3727998491324,1412.3727998491324,1440.0,176.67339423527278,827.7145335680161,827.7145335680161,810.0,143.67273823479223,7954.0,7954.0
9,2x2_pixel_surface_20000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,20000,red,squares,13,226,12,3.611836159349666,13.15,21.27652120349441,21.27652120349441,211.85179223686092,-0.5235015604638138,-0.5235015604638138,1.6736452623022795,1447.006989449887,1447.006989449887,1440.0,263.55408861305114,258.465146948003,258.465146948003,270.0,218.83732206456554,7962.0,7962.0
10,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,10000,red,squares,13,228,10,2.68683434378811,12.85,20.636620702670452,20.636620702670452,66.83061147662592,-0.029601489105819046,-0.029601489105819046,0.7252866518702479,1454.160565326633,1454.160565326633,1440.0,54.77686010754149,270.1651005025126,270.1651005025126,270.0,237.37499684919575,7960.0,7960.0
11,2x2_pixel_surface_10000_color_mode_white_frequency_19_shape_squares_coordinate_(480_810).mp4,2,10000,white,squares,19,227,11,5.083948675601726,18.85,32.111127958552366,32.111127958552366,193.64897548110926,-0.3580332666207543,-0.3580332666207543,0.5364483940273358,505.04195755901554,505.04195755901554,480.0,378.4217475366217,802.2127197388247,802.2127197388247,810.0,158.61039446138338,7964.0,7093.0
12,2x2_pixel_surface_30000_color_mode_red_frequency_19_shape_squares_coordinate_(1440_270).mp4,2,30000,red,squares,19,227,11,11.769696955221017,19.15,13.433434715300379,13.433434715300379,39.092485296040266,1.1919771772103442,1.1919771772103442,4.594870570920617,1430.4340291750505,1430.4340291750505,1440.0,56.0590319045814,274.4570674044266,274.4570674044266,270.0,52.117373970305735,7952.0,7952.0
13,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,20000,red,squares,8,226,12,1.742973482095719,7.85,26.75711981680761,26.75711981680761,128.34085657630533,0.8030140954510447,0.8030140954510447,1.330656226858393,1448.864342303823,1448.864342303823,1440.0,274.2971003219629,288.24168762575454,288.24168762575454,270.0,158.65148523039014,7952.0,7952.0
