TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,2x2_pixel_surface_30000_color_mode_red_frequency_19_shape_squares_coordinate_(1440_810).mp4,1,30000,red,squares,19,227,11,1.2251273124471895,19.15,639.8183716485914,639.8183716485914,9381.346149610754,-2.3693887585755475,-2.3693887585755475,0.1783575068095724,988.870022652907,988.870022652907,1440.0,61965.6487728915,427.6271016863831,427.6271016863831,810.0,7055.956249830334,7946.0,0.0
2,2x2_pixel_surface_30000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_810).mp4,1,30000,red,squares,8,228,10,3.5683399193722356,8.0,566.6405522531396,566.6405522531396,91930.34604766712,-1.7498611545370173,-1.7498611545370173,1.613214608137521,1159.7996791645699,1159.7996791645699,1440.0,129915.5901386112,392.1669036235531,392.1669036235531,810.0,29999.555142991718,7948.0,1142.0
3,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(480_810).mp4,1,10000,green,squares,8,227,11,0.5652418766372063,8.15,742.361558896127,742.361558896127,91765.86284002081,-0.7068450755682076,-0.7068450755682076,0.22004580332774226,1046.319095477387,1046.319095477387,480.0,148321.39687468437,431.95226130653265,431.95226130653265,810.0,30907.73945845433,7960.0,576.0
4,2x2_pixel_surface_10000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_270).mp4,1,10000,white,squares,13,228,10,0.8933870603036767,13.15,554.6136885374889,554.6136885374889,125133.80314731732,1.115631126753974,1.115631126753974,4.73022410259873,1042.1880508687989,1042.1880508687989,1440.0,181232.44950843963,471.95241123142785,471.95241123142785,270.0,52458.57387828317,7942.0,793.0
5,2x2_pixel_surface_20000_color_mode_white_frequency_8_shape_squares_coordinate_(480_810).mp4,2,20000,white,squares,8,228,10,3.4433429813729326,8.0,86.51752992203127,86.51752992203127,211.54056945156734,-0.0942097320908388,-0.0942097320908388,0.01412894330535954,565.4951775371443,565.4951775371443,480.0,203.39937676903457,801.0969277260135,801.0969277260135,810.0,104.73409846846069,7942.0,1516.0
6,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_810).mp4,2,30000,green,squares,13,227,11,10.413757211136902,13.15,80.92103454274198,80.92103454274198,103.21602866562633,0.2283673734845846,0.2283673734845846,0.027380243697466302,1517.5421611767663,1517.5421611767663,1440.0,74.89906006403965,828.9216243399549,828.9216243399549,810.0,205.71617244323963,7954.0,6677.0
7,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,20000,white,squares,25,228,10,12.220383051628346,25.15,98.75546948624218,98.75546948624218,218.0420347568252,0.20780872840914374,0.20780872840914374,0.027998573011011236,1534.8452857502516,1534.8452857502516,1440.0,126.11933861421788,832.0783862034239,832.0783862034239,810.0,361.4820831962649,7944.0,1.0
8,2x2_pixel_surface_10000_color_mode_white_frequency_19_shape_squares_coordinate_(480_270).mp4,2,10000,white,squares,19,228,10,0.3792287312324948,19.15,66.12906703146976,66.12906703146976,243.16336132012944,0.347973803942301,0.347973803942301,0.048680476601593775,540.3600615887381,540.3600615887381,480.0,193.50807592632248,293.49805806938156,293.49805806938156,270.0,227.2130238181463,7956.0,2474.0
9,2x2_pixel_surface_10000_color_mode_red_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,10000,red,squares,25,228,10,8.190278433253681,24.85,91.70490883809727,91.70490883809727,55.054770297475784,-0.27171334380741335,-0.27171334380741335,0.04139510748970152,1526.5404555722894,1526.5404555722894,1440.0,84.08265708412057,786.1422000502009,786.1422000502009,810.0,322.3173491130924,7968.0,0.0
10,2x2_pixel_surface_30000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_810).mp4,2,30000,green,squares,19,228,10,1.089048583091408,19.15,79.74524620209321,79.74524620209321,120.37769960761823,-0.2603559578429117,-0.2603559578429117,0.25973014646844444,1507.1383874622356,1507.1383874622356,1440.0,264.7444179561167,792.5947570493454,792.5947570493454,810.0,1404.4320202833717,7944.0,6202.0
11,2x2_pixel_surface_10000_color_mode_white_frequency_13_shape_squares_coordinate_(480_270).mp4,2,10000,white,squares,13,228,10,3.2772840270755976,12.85,66.93302311105563,66.93302311105563,447.34321384636513,-0.25977375076030595,-0.25977375076030595,0.08364527747325756,543.3288650075414,543.3288650075414,480.0,581.2293374372823,256.6805869783811,256.6805869783811,270.0,158.19155281030805,7956.0,2002.0
