TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,2x2_pixel_surface_10000_color_mode_red_frequency_8_shape_squares_coordinate_(480_810).mp4,1,10000,red,squares,8,227,11,1.1377264933664353,7.85,130.74336079204366,130.74336079204366,940.7762907056666,-0.7020870345555901,-0.7020870345555901,0.01095478308850092,577.9020176544767,577.9020176544767,480.0,357.6357241762331,724.2131462799496,724.2131462799496,810.0,732.7776257251344,7930.0,19.0
2,2x2_pixel_surface_10000_color_mode_white_frequency_13_shape_squares_coordinate_(480_810).mp4,1,10000,white,squares,13,228,10,2.6701629323388616,12.85,185.59101508548844,185.59101508548844,680.0480632691218,-0.8774722969427953,-0.8774722969427953,0.008967589416606435,596.9836291540786,596.9836291540786,480.0,171.18891974716618,666.8034050855991,666.8034050855991,810.0,762.4497388459762,7944.0,0.0
3,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_810).mp4,1,10000,red,squares,13,227,11,3.192435559897461,13.15,36.927220784757324,36.927220784757324,429.97667674900697,-0.8421916661963643,-0.8421916661963643,0.18477783628981775,1458.7605723270442,1458.7605723270442,1440.0,68.24135394917131,780.8526666666667,780.8526666666667,810.0,523.8288432033544,7950.0,5980.0
4,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_270).mp4,1,30000,white,squares,25,228,10,3.3309529929775863,24.85,119.13833985357181,119.13833985357181,899.7197810637258,-1.339890785805732,-1.339890785805732,0.015136056302635202,1464.530035246727,1464.530035246727,1440.0,118.92276165535387,154.33382426988922,154.33382426988922,270.0,994.3542052390081,7944.0,2280.0
5,2x2_pixel_surface_30000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,30000,white,squares,13,227,11,0.45429961355421167,12.85,27.165096705157207,27.165096705157207,102.04192240790766,0.9859864175952524,0.9859864175952524,0.1310314463754747,1453.550125754527,1453.550125754527,1440.0,70.99894867633873,291.80905432595574,291.80905432595574,270.0,109.74469417612315,7952.0,7952.0
6,2x2_pixel_surface_30000_color_mode_red_frequency_19_shape_squares_coordinate_(480_810).mp4,2,30000,red,squares,19,227,11,4.91343353649744,18.85,119.41585658660647,119.41585658660647,1197.2629704420026,1.1176826996427336,1.1176826996427336,0.12802417663302856,520.068220658457,520.068220658457,480.0,773.7029697165775,914.573668007037,914.573668007037,810.0,2142.5924578576123,7958.0,3609.0
7,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(480_270).mp4,2,10000,red,squares,13,228,10,0.41124702282587666,13.15,54.317557511670046,54.317557511670046,304.5920246329162,-0.18535984692265642,-0.18535984692265642,0.18102781227021178,528.0865268709191,528.0865268709191,480.0,193.32860488865515,254.84055123053741,254.84055123053741,270.0,519.5375202762553,7964.0,4304.0
8,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(480_810).mp4,2,30000,green,squares,13,227,11,3.431770546229762,12.85,141.67167763288603,141.67167763288603,2052.120768330565,1.23494430258245,1.23494430258245,0.1317156871388334,510.45399773356843,510.45399773356843,480.0,958.2429413966204,940.4238478972551,940.4238478972551,810.0,3226.9159919677986,7942.0,2159.0
9,2x2_pixel_surface_10000_color_mode_red_frequency_19_shape_squares_coordinate_(480_810).mp4,2,10000,red,squares,19,227,11,4.341642734609198,19.15,107.53535588102982,107.53535588102982,211.03582579183922,-0.030340420102815353,-0.030340420102815353,0.11339031259568913,581.4746540880503,581.4746540880503,480.0,234.20196513191723,803.390710691824,803.390710691824,810.0,1199.8984976710178,7950.0,0.0
10,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(480_270).mp4,2,30000,green,squares,13,227,11,2.5209347034161853,12.85,64.09829940509027,64.09829940509027,797.2567816006418,-0.8758418096473202,-0.8758418096473202,0.05484546506220012,519.5393602312719,519.5393602312719,480.0,331.3069302216663,220.8625628456511,220.8625628456511,270.0,596.6931004076894,7956.0,7549.0
11,2x2_pixel_surface_20000_color_mode_white_frequency_8_shape_squares_coordinate_(480_270).mp4,2,20000,white,squares,8,227,10,1.0495535111036203,7.85,84.02695399601684,84.02695399601684,2594.561999062514,-0.7773163224429914,-0.7773163224429914,0.1937614956819578,523.9670574886536,523.9670574886536,480.0,79.87220084742627,206.74024836106906,206.74024836106906,270.0,3640.3204744340305,7932.0,5230.0
12,2x2_pixel_surface_30000_color_mode_green_frequency_19_shape_squares_coordinate_(480_810).mp4,2,30000,green,squares,19,226,12,4.13740595362939,19.15,145.86602279113345,145.86602279113345,839.9230442027749,1.4364754292764488,1.4364754292764488,0.014192175888017387,496.40799974823767,496.40799974823767,480.0,137.10618820694856,954.1069612286001,954.1069612286001,810.0,943.6747306198462,7944.0,652.0
13,2x2_pixel_surface_30000_color_mode_green_frequency_25_shape_squares_coordinate_(480_810).mp4,2,30000,green,squares,25,226,12,0.49878528292303786,25.15,103.45028079427622,103.45028079427622,537.4159849296234,0.8165410888600674,0.8165410888600674,0.22254370042656316,537.6465201005025,537.6465201005025,480.0,801.2993427897969,881.4503203517589,881.4503203517589,810.0,2009.807680487827,7960.0,3372.0
14,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,30000,green,squares,13,227,11,2.701993238590865,12.85,40.01012937084457,40.01012937084457,194.6658392272748,0.2278821217365909,0.2278821217365909,0.6213392799626968,1466.6012261066398,1466.6012261066398,1440.0,146.1673076641675,272.42799924547285,272.42799924547285,270.0,935.7885731222328,7952.0,7952.0
15,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,30000,white,squares,25,229,9,1.6632567005874612,24.85,47.36894051046418,47.36894051046418,691.5313430990668,1.21742035078124,1.21742035078124,0.28775495002183854,1449.9448102538327,1449.9448102538327,1440.0,251.47447231257644,851.8014450867053,851.8014450867053,810.0,837.6133335488192,7958.0,6968.0
16,2x2_pixel_surface_30000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,30000,white,squares,8,228,10,13.200708079474943,8.0,,,,,,,,,,,,,,,,
17,2x2_pixel_surface_20000_color_mode_green_frequency_13_shape_squares_coordinate_(480_810).mp4,2,20000,green,squares,13,227,10,0.8286728840050102,12.85,,,,,,,,,,,,,,,,
18,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,10000,white,squares,8,228,10,2.3956536069448475,7.85,40.377138786212925,40.377138786212925,228.8480497052644,-0.36622340371001133,-0.36622340371001133,0.19198954337298157,1473.3947129909368,1473.3947129909368,1440.0,138.34165381994202,252.26274546827796,252.26274546827796,270.0,291.0026783763012,7944.0,7794.0
