TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,2x2_pixel_surface_20000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_270).mp4,1,20000,green,squares,8,225,13,2.457863515492237,8.15,,,,,,,,,,,,,,,,
2,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(1440_270).mp4,1,10000,green,squares,25,228,10,1.9913007500021966,24.85,,,,,,,,,,,,,,,,
3,2x2_pixel_surface_30000_color_mode_white_frequency_13_shape_squares_coordinate_(480_270).mp4,1,30000,white,squares,13,227,11,1.5104283454498981,12.85,15.109975543356958,15.109975543356958,40.33288373995862,-0.31453234880040154,-0.31453234880040154,3.6161368661579156,476.8758542713568,476.8758542713568,480.0,124.45592075263252,269.05391331658296,269.05391331658296,270.0,133.5329573618327,7960.0,7960.0
4,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_810).mp4,1,20000,red,squares,8,228,10,3.991674812645293,8.0,,,,,,,,,,,,,,,,
5,2x2_pixel_surface_20000_color_mode_green_frequency_25_shape_squares_coordinate_(480_810).mp4,2,20000,green,squares,25,227,11,3.9578646747188184,25.15,33.76206497323209,33.76206497323209,148.76682390698258,-1.8803073625646387,-1.8803073625646387,0.21007701516018298,467.75735516372794,467.75735516372794,480.0,116.58100194690661,780.5375944584383,780.5375944584383,810.0,154.1471603342766,7940.0,7940.0
6,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_810).mp4,2,10000,white,squares,8,227,11,1.4893421941328415,7.85,27.889446706763653,27.889446706763653,236.64993283084155,-1.3498503162894422,-1.3498503162894422,1.0396978368684324,1439.9126163522014,1439.9126163522014,1440.0,164.0441508905502,785.4037735849057,785.4037735849057,810.0,245.44502978521416,7950.0,7906.0
7,2x2_pixel_surface_10000_color_mode_red_frequency_19_shape_squares_coordinate_(1440_810).mp4,2,10000,red,squares,19,227,11,4.765445114224224,18.85,,,,,,,,,,,,,,,,
8,2x2_pixel_surface_30000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_810).mp4,2,30000,green,squares,19,227,11,0.4662903872466836,18.85,24.279345017763106,24.279345017763106,87.10346722126826,-1.0760614479691548,-1.0760614479691548,0.4668151415971347,1447.1771410579345,1447.1771410579345,1440.0,162.30533389194144,791.5200629722923,791.5200629722923,810.0,121.2653015073695,7940.0,7940.0
9,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,10000,green,squares,8,227,11,2.3324811484377954,8.0,38.33674860247765,38.33674860247765,54.99115531966802,-1.3334351102818462,-1.3334351102818462,0.024268184680053224,1448.5867325113238,1448.5867325113238,1440.0,30.78332516901347,233.11701056869651,233.11701056869651,270.0,59.82723894956118,7948.0,7347.0
10,2x2_pixel_surface_30000_color_mode_red_frequency_25_shape_squares_coordinate_(480_270).mp4,2,30000,red,squares,25,227,11,7.681978273848279,24.85,46.78448072295706,46.78448072295706,96.99183301843489,-1.9236777119826833,-1.9236777119826833,0.013499155419737709,464.2694912060301,464.2694912060301,480.0,23.836129829068394,226.2511055276382,226.2511055276382,270.0,100.52866523509506,7960.0,7960.0
11,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(480_270).mp4,2,10000,green,squares,8,227,11,4.947232864363123,8.0,,,,,,,,,,,,,,,,
12,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(480_810).mp4,2,20000,white,squares,25,228,10,5.318519483488732,24.85,50.90675754852596,50.90675754852596,361.87399020073224,-2.2328464847569616,-2.2328464847569616,0.1178509386313352,454.0212487411883,454.0212487411883,480.0,49.66238962896368,768.5125503524673,768.5125503524673,810.0,507.60556945239915,7944.0,7362.0
13,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(480_270).mp4,2,20000,red,squares,8,228,10,0.7893631667588122,7.85,,,,,,,,,,,,,,,,
14,2x2_pixel_surface_20000_color_mode_white_frequency_19_shape_squares_coordinate_(1440_270).mp4,2,20000,white,squares,19,228,10,6.78725577932422,18.85,,,,,,,,,,,,,,,,
15,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(480_270).mp4,2,20000,white,squares,25,229,9,1.892680525950949,25.15,,,,,,,,,,,,,,,,
16,2x2_pixel_surface_20000_color_mode_green_frequency_19_shape_squares_coordinate_(480_270).mp4,2,20000,green,squares,19,228,10,3.813806087797105,19.15,47.840341232561265,47.840341232561265,111.08312845039237,-2.050658920870577,-2.050658920870577,0.06779956729141319,457.774391315261,457.774391315261,480.0,147.16615173793664,229.2332705823293,229.2332705823293,270.0,96.7113171396366,7968.0,7968.0
17,2x2_pixel_surface_20000_color_mode_red_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,20000,red,squares,25,228,10,2.058452825140218,24.85,,,,,,,,,,,,,,,,
18,2x2_pixel_surface_10000_color_mode_green_frequency_13_shape_squares_coordinate_(480_810).mp4,2,10000,green,squares,13,227,11,0.7528672165759132,12.85,58.61720233720375,58.61720233720375,144.07312612510998,-2.4646111727128233,-2.4646111727128233,0.05802609072275701,435.1450641348089,435.1450641348089,480.0,233.00370205826098,775.1692970321932,775.1692970321932,810.0,121.90269320553445,7952.0,4946.0
19,2x2_pixel_surface_10000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,10000,green,squares,13,227,11,1.811954971325959,12.85,59.34201099412423,59.34201099412423,218.88680192914046,-1.4624091623103692,-1.4624091623103692,0.014861882585475892,1445.9295956805627,1445.9295956805627,1440.0,39.41394139855493,211.35555625313916,211.35555625313916,270.0,226.61624204367135,7964.0,2841.0
20,2x2_pixel_surface_30000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,30000,green,squares,13,227,11,1.5130357532112486,13.15,40.16163272794398,40.16163272794398,297.99143770138625,-1.6678208979858533,-1.6678208979858533,0.30858067407631223,1443.0438803719526,1443.0438803719526,1440.0,488.06663131114783,235.7089721035436,235.7089721035436,270.0,237.74174785018937,7958.0,7958.0
21,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,30000,white,squares,25,228,10,1.024641354675134,24.85,36.39302618688254,36.39302618688254,148.8352328736626,-1.270501294187437,-1.270501294187437,0.08775906648235852,1451.2351525081924,1451.2351525081924,1440.0,213.5345923828416,777.4525144945803,777.4525144945803,810.0,74.18553092208636,7934.0,7934.0
22,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,20000,white,squares,25,228,10,16.311034843147755,24.85,33.77119552592274,33.77119552592274,53.46646446943224,-1.7417204802251527,-1.7417204802251527,0.06415397179239027,1435.1747671198389,1435.1747671198389,1440.0,60.69104538886852,777.6011329305136,777.6011329305136,810.0,60.29960659662957,7944.0,7944.0
23,2x2_pixel_surface_10000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,10000,red,squares,8,227,11,0.30353735244759616,7.85,,,,,,,,,,,,,,,,
24,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,10000,white,squares,8,228,10,2.0504971148283215,8.0,39.473736683055904,39.473736683055904,71.682645308668,-1.5727780264031617,-1.5727780264031617,0.05480888560783949,1438.6950263752826,1438.6950263752826,1440.0,71.68376011610916,231.51129113288118,231.51129113288118,270.0,75.09110649675382,7962.0,7188.0
25,2x2_pixel_surface_20000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_270).mp4,2,20000,green,squares,19,226,12,1.8777447087433987,19.15,,,,,,,,,,,,,,,,
26,2x2_pixel_surface_10000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,10000,white,squares,25,227,11,2.953052435453193,24.85,,,,,,,,,,,,,,,,
27,2x2_pixel_surface_30000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_810).mp4,2,30000,red,squares,13,226,11,0.943948364354352,13.15,24.811916468218055,24.811916468218055,215.47983117921237,-1.1251226341348328,-1.1251226341348328,1.950850483661817,1444.821974281392,1444.821974281392,1440.0,505.2508698793183,796.9447680282401,796.9447680282401,810.0,132.16964231885677,7932.0,7932.0
28,2x2_pixel_surface_30000_color_mode_green_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,30000,green,squares,25,228,10,2.1324841830405483,24.85,20.887325711856906,20.887325711856906,124.47501820106253,-0.21297046454074464,-0.21297046454074464,1.0062235789413108,1453.4226717845459,1453.4226717845459,1440.0,230.9462129597299,804.9901837402467,804.9901837402467,810.0,124.54280384240363,7946.0,7946.0
29,2x2_pixel_surface_10000_color_mode_red_frequency_13_shape_squares_coordinate_(1440_270).mp4,2,10000,red,squares,13,227,11,0.3641716944338983,12.85,27.082744314517438,27.082744314517438,41.68028915987454,-0.6739708338990896,-0.6739708338990896,0.2642326659113049,1458.3768292682928,1458.3768292682928,1440.0,51.717545842864766,254.46239627860194,254.46239627860194,270.0,144.31279956335553,7954.0,7954.0
30,2x2_pixel_surface_20000_color_mode_red_frequency_19_shape_squares_coordinate_(480_270).mp4,2,20000,red,squares,19,227,11,5.022338922740426,19.15,48.918243279794524,48.918243279794524,102.47459304481117,-2.2170055776388704,-2.2170055776388704,0.2235804365900558,452.0669366993218,452.0669366993218,480.0,355.0741865845386,235.43630997236875,235.43630997236875,270.0,165.49023835556247,7962.0,7962.0
31,2x2_pixel_surface_20000_color_mode_green_frequency_25_shape_squares_coordinate_(480_270).mp4,2,20000,green,squares,25,227,11,0.4665184421243248,24.85,,,,,,,,,,,,,,,,
32,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(480_270).mp4,2,10000,green,squares,25,226,12,4.676441530758604,25.15,42.8509126803628,42.8509126803628,161.54199477748622,-1.719356714214896,-1.719356714214896,0.09537440712309912,472.0631919979869,472.0631919979869,480.0,253.67452998477742,230.24510568696527,230.24510568696527,270.0,100.62363923140701,7948.0,6699.0
33,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(480_270).mp4,2,30000,white,squares,25,227,11,2.89644720579561,24.85,46.840801636826015,46.840801636826015,266.565219251795,-1.94157761878106,-1.94157761878106,0.13977741816826644,460.4745286576169,460.4745286576169,480.0,375.9780701021199,230.53273001508293,230.53273001508293,270.0,145.73841592559984,7956.0,7956.0
34,2x2_pixel_surface_30000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,30000,white,squares,8,227,11,0.8321686835554157,8.15,,,,,,,,,,,,,,,,
35,2x2_pixel_surface_10000_color_mode_green_frequency_25_shape_squares_coordinate_(1440_810).mp4,2,10000,green,squares,25,227,11,2.3002048782789224,25.15,24.314283662892503,24.314283662892503,73.68665523796712,-0.6531703785431836,-0.6531703785431836,0.39933221078568715,1455.395114292891,1455.395114292891,1440.0,55.50332641873819,795.7525558904797,795.7525558904797,810.0,169.3685111137439,7962.0,7962.0
36,2x2_pixel_surface_20000_color_mode_white_frequency_13_shape_squares_coordinate_(480_270).mp4,2,20000,white,squares,13,228,10,0.319116053734978,13.15,31.07804496289703,31.07804496289703,134.03418984370722,-1.8616608608229666,-1.8616608608229666,0.09821410174657151,471.8405754218081,471.8405754218081,480.0,99.65731579832818,241.44080836061445,241.44080836061445,270.0,118.01811621887747,7942.0,7940.0
37,2x2_pixel_surface_10000_color_mode_white_frequency_25_shape_squares_coordinate_(480_810).mp4,2,10000,white,squares,25,227,11,1.2441761156875046,24.85,46.69677262143474,46.69677262143474,121.97816447787177,-2.6380627800507757,-2.6380627800507757,0.21728123199532243,439.41977358490567,439.41977358490567,480.0,131.40962787326453,789.3072704402515,789.3072704402515,810.0,96.21327732937779,7950.0,6501.0
38,2x2_pixel_surface_30000_color_mode_red_frequency_8_shape_squares_coordinate_(480_810).mp4,2,30000,red,squares,8,227,11,0.9948495797870652,8.15,33.8688763561307,33.8688763561307,95.58462057604427,0.023774719834218815,0.023774719834218815,2.608263572838273,483.41153314917125,483.41153314917125,480.0,754.9201906303676,801.1963021094926,801.1963021094926,810.0,398.6215605973286,7964.0,7964.0
39,2x2_pixel_surface_20000_color_mode_green_frequency_25_shape_squares_coordinate_(1440_270).mp4,2,20000,green,squares,25,228,10,3.1937249954352893,24.85,22.192091951474463,22.192091951474463,204.62319309108196,-0.9195525288684029,-0.9195525288684029,0.26193129311693236,1449.748540513337,1449.748540513337,1440.0,68.90050617387452,253.91790387518873,253.91790387518873,270.0,274.54377419206855,7948.0,7888.0
40,2x2_pixel_surface_20000_color_mode_red_frequency_19_shape_squares_coordinate_(480_810).mp4,2,20000,red,squares,19,227,11,2.888200048863252,18.85,20.061802903834327,20.061802903834327,109.64819163583938,-1.7548787882967039,-1.7548787882967039,0.660150575351576,475.61992835595777,475.61992835595777,480.0,77.09780641769267,792.9763574660633,792.9763574660633,810.0,126.03688824024213,7956.0,7956.0
41,2x2_pixel_surface_20000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,20000,red,squares,8,227,11,1.9898602801593333,7.85,66.95782457056167,66.95782457056167,284.399037054702,-0.9975614279202096,-0.9975614279202096,0.04024370313818671,1477.440718412459,1477.440718412459,1440.0,332.7030845378901,216.01132253202712,216.01132253202712,270.0,118.46153375706326,7962.0,7746.0
42,2x2_pixel_surface_10000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_810).mp4,2,10000,red,squares,8,227,11,1.7155945244105941,8.0,11.228855738544878,11.228855738544878,36.408906593030814,-0.2065695337281083,-0.2065695337281083,1.4800169287643115,1445.8477032469168,1445.8477032469168,1440.0,65.60994973373474,807.5112886987163,807.5112886987163,810.0,56.496840851211324,7946.0,7946.0
43,2x2_pixel_surface_30000_color_mode_red_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,30000,red,squares,8,227,11,0.9794283796057803,7.85,26.465369919372773,26.465369919372773,72.06695056256679,-0.900844624020505,-0.900844624020505,0.1541519721590363,1453.5254274578829,1453.5254274578829,1440.0,24.11222652711127,249.1120442544632,249.1120442544632,270.0,129.12664585874057,7954.0,7954.0
44,2x2_pixel_surface_30000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_270).mp4,2,30000,green,squares,8,226,12,3.114829862152068,8.0,36.637443372299984,36.637443372299984,55.157613549161496,-0.6723726369863313,-0.6723726369863313,0.08538558627255986,1467.8034914443886,1467.8034914443886,1440.0,86.9615652506817,248.41451308505285,248.41451308505285,270.0,71.53092330342717,7948.0,7948.0
45,2x2_pixel_surface_20000_color_mode_red_frequency_25_shape_squares_coordinate_(480_270).mp4,2,20000,red,squares,25,227,11,4.099632414625322,24.85,,,,,,,,,,,,,,,,
