Folder,Video,pixel_surface,color,shape,frequency,pp1,pp2,pp3,pp4,pp5,pp6
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_270).mp4,20000,green,squares,13,[ 1.71591611  3.25427985 10.86329998],[0.13628274 3.34188457 2.48433863],[1.25323633 1.71906368 2.41397975],[2.95300728 1.28308374 0.26679903],[0.65402794 4.00367355 0.91207947],[0.79149176 2.04331457 2.10081831]
Experiment_2,2x2_pixel_surface_30000_color_mode_white_frequency_25_shape_squares_coordinate_(480_810).mp4,30000,white,squares,25,[2.35208299 1.14177738 3.95009123],[ 4.6419507  10.37701844  2.13947064],[9.53508291 1.80059681 1.02414525],[4.2764493  1.04277795 3.77776392],[38.27075052 15.78038969 11.24510395],[6.18258483 2.43388062 5.3400366 ]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_270).mp4,10000,green,squares,19,[3.39470939 2.34407734 1.82795035],[2.42874628 2.68513868 0.47323642],[2.23295375 1.24134987 1.49486918],[2.9963589  2.15544979 0.8310518 ],[1.40459034 0.77647541 1.54390024],[7.98099092 2.2581759  1.70140685]
Experiment_2,2x2_pixel_surface_30000_color_mode_green_frequency_25_shape_squares_coordinate_(480_270).mp4,30000,green,squares,25,[0.61191258 3.42116909 0.85137365],[3.25053201 4.19627962 0.91004887],[4.06482654 4.3378145  4.87917396],[1.84619869 3.28325356 2.56429393],[1.70781536 3.16352678 5.51771403],[2.07552479 2.16432648 6.09593324]
Experiment_2,2x2_pixel_surface_10000_color_mode_white_frequency_8_shape_squares_coordinate_(480_810).mp4,10000,white,squares,8,[1.5725819  0.68957652 1.32540258],[ 2.38611955  3.17189691 10.6419034 ],[1.25526941 1.93612726 2.55451974],[11.98837723  2.10809777  2.19008129],[1.14336633 1.69613814 5.30665817],[0.87344045 0.2544788  1.59517191]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(1440_810).mp4,10000,green,squares,8,[5.57977087 1.94194556 1.43757514],[1.80733397 1.26940962 6.95349453],[1.91382668 0.8107329  1.64209844],[1.55228116 1.35521874 4.09946393],[0.82277131 2.42018021 2.8120872 ],[0.72191194 1.34330818 3.66340741]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(1440_270).mp4,20000,white,squares,25,[3.6759731  6.58078512 2.16856319],[3.67080647 1.91300647 2.52421062],[3.58988937 3.05814282 2.6053332 ],[3.7097524  2.95198618 3.47291844],[19.57938451  8.62729119 11.32015735],[1.2052607  2.69472106 5.50998049]
Experiment_2,2x2_pixel_surface_30000_color_mode_white_frequency_19_shape_squares_coordinate_(1440_270).mp4,30000,white,squares,19,[1.8950602  0.97118357 0.91749185],[ 9.37515461  7.08124773 11.45550517],[7.22588293 1.51044261 0.28947312],[1.57005807 1.00600313 0.65453033],[0.79280173 4.34105653 1.13497029],[7.14527812 1.97240316 5.08650133]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_19_shape_squares_coordinate_(480_810).mp4,20000,green,squares,19,[4.02624077 6.25317592 2.84774492],[1.10865364 0.85360957 1.43236252],[1.59785186 1.36013107 0.9084508 ],[5.13708673 0.39213156 3.5518553 ],[5.35106733 3.09682859 3.18317995],[9.15246813 3.97175031 5.83315521]
Experiment_2,2x2_pixel_surface_20000_color_mode_red_frequency_13_shape_squares_coordinate_(480_270).mp4,20000,red,squares,13,[3.71572382 3.1819309  0.5241913 ],[2.18856543 1.51183507 0.21208136],[0.9363985  1.05587516 2.05976215],[8.16626071 3.84937162 5.95097466],[1.92358722 0.58089951 2.13221961],[4.41772726 1.37965155 1.63553172]
Experiment_2,2x2_pixel_surface_10000_color_mode_green_frequency_8_shape_squares_coordinate_(480_270).mp4,10000,green,squares,8,[3.29587787 5.90893136 3.39523981],[8.24295892 2.2932863  9.53965148],[4.94723286 3.67052067 2.48062795],[1.76455058 3.69741158 2.49208475],[0.53206817 1.03690198 8.75951217],[1.17899155 0.97718693 0.54537442]
Experiment_2,2x2_pixel_surface_30000_color_mode_red_frequency_13_shape_squares_coordinate_(480_270).mp4,30000,red,squares,13,[0.85126644 3.38481783 1.01522869],[1.36292039 5.01180025 2.15083217],[10.41238539  0.9626225   0.54037912],[ 4.91346829  8.64033224 25.21358434],[8.81148828 3.71409454 3.64203415],[ 1.94850581 11.19049179  3.43964212]
Experiment_2,2x2_pixel_surface_20000_color_mode_red_frequency_25_shape_squares_coordinate_(1440_810).mp4,20000,red,squares,25,[4.97047309 4.13519213 2.50958673],[2.1452057  9.15087614 3.61759096],[2.05845283 4.2207531  0.37221729],[2.03287632 1.66661082 5.86162152],[3.15742609 4.86019954 1.49732435],[3.17503501 6.00542825 4.5533098 ]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_19_shape_squares_coordinate_(480_270).mp4,20000,green,squares,19,[0.78032368 4.03032215 1.59031012],[1.6279967  1.68577481 6.63352736],[3.81380609 1.89513962 0.38876243],[1.29097013 1.71257935 3.33420504],[0.76088803 4.08972068 7.61727388],[1.5369814  6.00306807 4.65068274]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_270).mp4,20000,white,squares,13,[0.51563201 3.4469842  1.11673344],[3.08077726 6.14825002 3.52015793],[0.50248375 1.81878417 0.50752673],[1.6527077  0.76158247 4.72190304],[5.87046346 3.63765508 3.23314877],[10.68276377  0.97866332  0.58106826]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_25_shape_squares_coordinate_(480_810).mp4,20000,green,squares,25,[2.47238542 8.70625132 1.92500735],[2.62235345 1.43402997 0.68159429],[3.95786467 2.02038449 1.07088881],[2.61401249 0.91319997 0.90771233],[ 7.20802836  6.25014554 17.27782146],[0.73952923 5.51938284 1.33964253]
Experiment_2,2x2_pixel_surface_20000_color_mode_red_frequency_19_shape_squares_coordinate_(1440_270).mp4,20000,red,squares,19,[5.86104036 3.63607995 1.2371079 ],[4.43609775 2.46753254 1.3501428 ],[3.65443087 1.02620877 4.43924923],[5.61206319 0.18277296 0.49169991],[1.27381757 1.15686395 4.7599836 ],[1.96022299 1.13210966 4.06711288]
