,8,13,19,25
8,,0.1067910693937989,0.2764577298143214,0.03807312666962648
13,0.1067910693937989,,3.978951331062852e-05,1.4276978139715624e-06
19,0.2764577298143214,3.978951331062852e-05,,0.7139902352729695
25,0.03807312666962648,1.4276978139715624e-06,0.7139902352729695,
