category,groups,p_value_bartlett,Variances equal?,ANOVA method,df within groups,df between groups,p_value ANOVA method,Mean different?,Type of post hoc test,p_value_matrix,Significance_matrix
pixel_surface,[10000 20000 30000],4.558211851041077e-09,No,Welch's ANOVA,2,1280.31,0.0005531330230865648,Yes,Games-Howell,"          10000     20000     30000
10000       NaN  0.053493  0.000472
20000  0.053493       NaN  0.457596
30000  0.000472  0.457596       NaN","                 10000            20000            30000
10000                X  Not significant      Significant
20000  Not significant                X  Not significant
30000      Significant  Not significant                X"
color,['green' 'red' 'white'],0.0005471731537016113,No,Welch's ANOVA,2,1288.98,0.09729779050204516,No,None,None,"                 10000            20000            30000
10000                X  Not significant      Significant
20000  Not significant                X  Not significant
30000      Significant  Not significant                X"
shape,['circles' 'squares' 'triangles'],7.584647029356579e-12,No,Welch's ANOVA,2,1280.03,0.02364895069955873,Yes,Games-Howell,"            circles   squares triangles
circles         NaN  0.624502   0.14828
squares    0.624502       NaN  0.025267
triangles   0.14828  0.025267       NaN","                   circles          squares        triangles
circles                  X  Not significant  Not significant
squares    Not significant                X      Significant
triangles  Not significant      Significant                X"
frequency,[ 8 13 19 25],6.883577012682562e-22,No,Welch's ANOVA,3,1062.11,3.834173486398647e-07,Yes,Games-Howell,"          8         13        19        25
8        NaN  0.992264  0.106352   0.00005
13  0.992264       NaN  0.018853  0.000001
19  0.106352  0.018853       NaN   0.06392
25   0.00005  0.000001   0.06392       NaN","                 8                13               19               25
8                 X  Not significant  Not significant      Significant
13  Not significant                X      Significant      Significant
19  Not significant      Significant                X  Not significant
25      Significant      Significant  Not significant                X"
