,8,13,19,25
8,,0.9134128136847153,0.21644387377782204,0.00030605001545824795
13,0.9134128136847153,,0.014639290678719608,5.591598785104068e-07
19,0.21644387377782204,0.014639290678719608,,0.08989219467220688
25,0.00030605001545824795,5.591598785104068e-07,0.08989219467220688,
