experiment,category,groups,SNR group A average,SNR group A std,group A number of samples,SNR group B average,SNR group B std,group B number of samples,SNR group C average,SNR group C std,group C number of samples,SNR group D average,SNR group D std,group D number of samples
Experiment_1,pixel_surface,[10000 20000 30000],3.278500552808642,3.6907726740653692,648,3.824169253950617,4.709738556079341,648,4.123828870169753,4.317981841999252,648,,,
Experiment_1,color,['green' 'red' 'white'],3.5143702355401234,4.263878720379392,648,3.6755363668209875,3.9346211718381974,648,4.036592074567902,4.58376062566934,648,,,
Experiment_1,shape,['circles' 'squares' 'triangles'],3.8001894736111113,4.005723362577101,648,4.031005328611111,4.922600760683117,648,3.39530387470679,3.7856119705204514,648,,,
Experiment_1,frequency,[ 8 13 19 25],3.264596502263375,4.397142584399419,486,3.195513553641976,3.161804604489373,486,3.8876810715432093,4.1566933782121875,486,4.620873775123457,5.015729013161275,486.0
