experiment,category,groups,SNR group A average,SNR group A std,group A number of samples,SNR group B average,SNR group B std,group B number of samples,SNR group C average,SNR group C std,group C number of samples,SNR group D average,SNR group D std,group D number of samples
Experiment_2,pixel_surface,[10000 20000 30000],3.110855454513889,3.4539219657702755,864,3.586473020590278,3.9241943430304045,864,3.9872770204398154,4.567195550991274,864,,,
Experiment_2,color,['green' 'red' 'white'],3.3108692106481477,4.0219315834684135,864,3.590543302175926,3.8858760239819015,864,3.7831929827199073,4.145403526479337,864,,,
Experiment_2,frequency,[ 8 13 19 25],3.4055353628395064,4.258304002065396,648,2.9510478992283953,2.811378804522588,648,3.8163354095987656,3.972137005929332,648,4.073221989058642,4.71439689933958,648.0
