TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,1x1_pixel_surface_30000_color_mode_red_frequency_8_shape_triangles.mp4,1,30000,red,triangles,8,226,12,1.7746965507089922,7.85,38.959207374460355,38.959207374460355,235.536562640587,-1.7467091912354038,-1.7467091912354038,0.2424441390158596,959.3584968553458,959.3584968553458,960.0,503.1774664826945,506.60990566037736,506.60990566037736,540.0,134.86900911059686,7950.0,7684.0
2,1x1_pixel_surface_10000_color_mode_white_frequency_13_shape_circles.mp4,1,10000,white,circles,13,226,12,0.8138007381921931,13.15,40.85618040888372,40.85618040888372,50.76627867973136,-1.4111106180526825,-1.4111106180526825,0.07443784667081399,967.1843742146268,967.1843742146268,960.0,130.75281533470582,501.2935787886404,501.2935787886404,540.0,39.438665101294234,7958.0,7797.0
3,1x1_pixel_surface_20000_color_mode_green_frequency_25_shape_circles.mp4,1,20000,green,circles,25,226,11,3.642094564489847,24.85,38.64033280000939,38.64033280000939,92.01778057501753,-1.7237748446040178,-1.7237748446040178,0.16093234297711032,954.7263426626323,954.7263426626323,960.0,321.7192200202525,505.4594490670701,505.4594490670701,540.0,42.51275898795046,7932.0,7932.0
4,1x1_pixel_surface_10000_color_mode_red_frequency_25_shape_squares.mp4,1,10000,red,squares,25,227,11,0.6158006050812759,25.15,28.401954763997885,28.401954763997885,68.87202685955862,-1.8799676866588306,-1.8799676866588306,0.15700299253237052,952.2921772978403,952.2921772978403,960.0,78.63818717298537,514.462267704671,514.462267704671,540.0,85.31857250693793,7964.0,7964.0
5,1x1_pixel_surface_10000_color_mode_red_frequency_8_shape_squares.mp4,2,10000,red,squares,8,226,12,2.3871411943750838,8.0,16.689969420999258,16.689969420999258,87.99039762109838,-0.5925177927139184,-0.5925177927139184,5.432227303061863,947.7696298161673,947.7696298161673,960.0,137.201708601317,536.7921619239486,536.7921619239486,540.0,69.47158833792065,7942.0,7942.0
6,1x1_pixel_surface_30000_color_mode_green_frequency_13_shape_triangles.mp4,2,30000,green,triangles,13,227,11,1.585100105461598,12.85,19.483193766697788,19.483193766697788,88.88544807069218,-1.7281199972773964,-1.7281199972773964,0.6027355854118842,954.9977044025158,954.9977044025158,960.0,118.22927051639572,523.946358490566,523.946358490566,540.0,67.50864994695623,7950.0,7950.0
7,1x1_pixel_surface_10000_color_mode_red_frequency_19_shape_circles.mp4,2,10000,red,circles,19,226,12,2.940958005036598,18.85,13.75634462359214,13.75634462359214,62.43857883785275,-0.8767114576492809,-0.8767114576492809,4.403184509644118,956.2066004526024,956.2066004526024,960.0,153.53282291629853,535.0047334674379,535.0047334674379,540.0,58.80020546705442,7954.0,7946.0
8,1x1_pixel_surface_10000_color_mode_white_frequency_13_shape_triangles.mp4,2,10000,white,triangles,13,226,12,0.4386086506602088,13.15,31.10472791812538,31.10472791812538,118.68453122477582,-1.2124090091930604,-1.2124090091930604,1.6417616096506926,959.47173530889,959.47173530889,960.0,500.86051640105865,523.3842667001506,523.3842667001506,540.0,308.96645700873046,7964.0,7507.0
9,1x1_pixel_surface_10000_color_mode_white_frequency_8_shape_circles.mp4,2,10000,white,circles,8,227,11,0.5216086872067789,8.15,36.00263461879507,36.00263461879507,174.30225292245711,2.198994515099811,2.198994515099811,0.11542431279591235,941.6567031722054,941.6567031722054,960.0,32.55109460675732,569.1107565458207,569.1107565458207,540.0,254.02817262753769,7944.0,7604.0
10,1x1_pixel_surface_10000_color_mode_red_frequency_13_shape_triangles.mp4,2,10000,red,triangles,13,226,12,1.07212017721006,13.15,17.449774231916326,17.449774231916326,62.104293323542315,-0.14964419604574933,-0.14964419604574933,5.087238838207715,950.3957631380438,950.3957631380438,960.0,67.84741353001661,536.4699459391502,536.4699459391502,540.0,194.0488531652947,7954.0,7954.0
