TRIAL_INDEX,VIDEO_NAME,BLOCK,PIXEL_SURFACE,COLOR,SHAPE,FREQUENCY,DISPLAYED_FRAMES,DROPPED_FRAMES,MAX_SNR,FREQUENCY_SAMPLED_AT,MEAN_GAZE_DISTANCE,AVERAGE_GAZE_DISTANCE,VARIANCE_GAZE_DISTANCE,MEAN_GAZE_ANGLE,AVERAGE_GAZE_ANGLE,VARIANCE_GAZE_ANGLE,MEAN_X,X_AVERAGE,X,X_VARIANCE,Y_MEAN,Y_AVERAGE,Y,Y_VARIANCE,NUMBER_OF_GAZE_POINTS,POINTS_ON_TARGET
1,1x1_pixel_surface_10000_color_mode_white_frequency_8_shape_squares.mp4,1,10000,white,squares,8,226,12,1.671529660125829,7.85,79.41213319882557,79.41213319882557,261.3986106762718,-1.3074850194167071,-1.3074850194167071,0.04135995716574243,978.574497361146,978.574497361146,960.0,178.07887996223226,464.3831113345061,464.3831113345061,540.0,326.68082623314376,7958.0,877.0
2,1x1_pixel_surface_20000_color_mode_green_frequency_13_shape_squares.mp4,1,20000,green,squares,13,227,11,5.6762766790686925,13.15,187.21680492249172,187.21680492249172,287.91537925572544,-1.329041761724398,-1.329041761724398,0.002346156766453642,1004.3252386335091,1004.3252386335091,960.0,56.46785428241601,358.33219668425016,358.33219668425016,540.0,313.6620288721418,7962.0,0.0
3,1x1_pixel_surface_20000_color_mode_white_frequency_8_shape_squares.mp4,1,20000,white,squares,8,226,12,1.4077760683950116,7.85,293.0987859539633,293.0987859539633,2192.669111559864,-1.3576467617059136,-1.3576467617059136,0.004635137763280071,1019.5178733316545,1019.5178733316545,960.0,153.37971485527214,253.58619994963485,253.58619994963485,540.0,2370.945619178353,7942.0,0.0
4,1x1_pixel_surface_10000_color_mode_green_frequency_8_shape_triangles.mp4,1,10000,green,triangles,8,226,12,1.3211591907696243,8.0,176.49393046989732,176.49393046989732,1134.8710557147142,-1.2083411200015304,-1.2083411200015304,0.009796806109472164,1021.5435345911949,1021.5435345911949,960.0,242.74651794691664,375.4662389937107,375.4662389937107,540.0,1183.2668696284168,7950.0,0.0
5,1x1_pixel_surface_20000_color_mode_green_frequency_8_shape_circles.mp4,2,20000,green,circles,8,226,12,4.410228873083412,8.0,67.78870255925128,67.78870255925128,384.71287994990684,-1.1278872757787515,-1.1278872757787515,0.023752028785147088,989.112415137038,989.112415137038,960.0,168.19036038536805,479.6441664571285,479.6441664571285,540.0,321.47135646512584,7954.0,4921.0
6,1x1_pixel_surface_20000_color_mode_green_frequency_25_shape_squares.mp4,2,20000,green,squares,25,226,12,3.3161857856775465,24.85,262.5517101975505,262.5517101975505,66161.29355100796,-0.50994069290042,-0.50994069290042,1.0815440956824491,1018.8691486690105,1018.8691486690105,960.0,529.2017484716192,465.4981479156203,465.4981479156203,540.0,125549.38970117804,7964.0,1732.0
7,1x1_pixel_surface_20000_color_mode_green_frequency_8_shape_squares.mp4,2,20000,green,squares,8,227,11,5.312374028741539,8.0,141.68842384562956,141.68842384562956,491.5529442631128,-1.3196381309458367,-1.3196381309458367,0.007012346774625615,994.2856333417275,994.2856333417275,960.0,79.26267574468534,402.97796524804835,402.97796524804835,540.0,537.3570591687746,7942.0,0.0
8,1x1_pixel_surface_30000_color_mode_green_frequency_25_shape_circles.mp4,2,30000,green,circles,25,227,11,7.6593825678810745,24.85,107.14936431932165,107.14936431932165,667.0091945187394,-1.0036997158532504,-1.0036997158532504,0.03105120057385803,1015.1579182389936,1015.1579182389936,960.0,253.10228793042208,449.98266037735846,449.98266037735846,540.0,749.375803425537,7950.0,2145.0
9,1x1_pixel_surface_30000_color_mode_white_frequency_19_shape_triangles.mp4,2,30000,white,triangles,19,226,12,11.365746157747889,18.85,34.805890282460176,34.805890282460176,114.5802756523829,-0.264340295081632,-0.264340295081632,0.14222819292501662,990.6691302161892,990.6691302161892,960.0,61.918496528544,528.905354449472,528.905354449472,540.0,200.42506936908654,7956.0,7956.0
10,1x1_pixel_surface_10000_color_mode_green_frequency_13_shape_circles.mp4,2,10000,green,circles,13,226,12,3.027730345310109,13.15,77.03791844515746,77.03791844515746,323.91855613865005,-1.214508219837056,-1.214508219837056,0.006043150498087477,987.0105626726953,987.0105626726953,960.0,61.795214981063346,468.0545151971866,468.0545151971866,540.0,291.2409401128688,7962.0,908.0
